JELENIA GÓRA,2017,1,-5.4,28.8,2017-1
JELENIA GÓRA,2017,2,0.9,40.1,2017-2
JELENIA GÓRA,2017,3,5.5,42.9,2017-3
JELENIA GÓRA,2017,4,6.5,73.6,2017-4
JELENIA GÓRA,2017,5,12.8,79.4,2017-5
JELENIA GÓRA,2017,6,17.0,77.7,2017-6
JELENIA GÓRA,2017,7,17.4,103.5,2017-7
JELENIA GÓRA,2017,8,17.7,111.0,2017-8
JELENIA GÓRA,2017,9,11.3,77.5,2017-9
JELENIA GÓRA,2017,10,9.8,96.5,2017-10
JELENIA GÓRA,2017,11,4.4,36.8,2017-11
JELENIA GÓRA,2017,12,1.8,34.5,2017-12
JELENIA GÓRA,2018,1,2.3,37.1,2018-1
JELENIA GÓRA,2018,2,-3.5,3.0,2018-2
JELENIA GÓRA,2018,3,0.1,24.4,2018-3
JELENIA GÓRA,2018,4,12.5,24.9,2018-4
JELENIA GÓRA,2018,5,15.0,37.0,2018-5
JELENIA GÓRA,2018,6,16.9,68.3,2018-6
JELENIA GÓRA,2018,7,18.3,56.7,2018-7
JELENIA GÓRA,2018,8,19.6,32.7,2018-8
JELENIA GÓRA,2018,9,13.7,47.1,2018-9
JELENIA GÓRA,2018,10,10.2,45.8,2018-10
JELENIA GÓRA,2018,11,4.1,13.5,2018-11
JELENIA GÓRA,2018,12,2.1,67.6,2018-12
JELENIA GÓRA,2019,1,-1.5,68.1,2019-1
JELENIA GÓRA,2019,2,1.8,41.1,2019-2
JELENIA GÓRA,2019,3,5.8,37.5,2019-3
JELENIA GÓRA,2019,4,8.8,32.5,2019-4
JELENIA GÓRA,2019,5,10.2,113.5,2019-5
JELENIA GÓRA,2019,6,20.3,14.2,2019-6
JELENIA GÓRA,2019,7,18.2,20.9,2019-7
JELENIA GÓRA,2019,8,18.2,77.1,2019-8
JELENIA GÓRA,2019,9,12.9,52.6,2019-9
JELENIA GÓRA,2019,10,9.8,34.3,2019-10
JELENIA GÓRA,2019,11,6.0,46.0,2019-11
JELENIA GÓRA,2019,12,2.8,27.1,2019-12
JELENIA GÓRA,2020,1,0.9,13.0,2020-1
JELENIA GÓRA,2020,2,4.3,76.8,2020-2
JELENIA GÓRA,2020,3,3.7,29.4,2020-3
JELENIA GÓRA,2020,4,8.1,10.9,2020-4
JELENIA GÓRA,2020,5,10.3,91.5,2020-5
JELENIA GÓRA,2020,6,15.9,148.1,2020-6
JELENIA GÓRA,2020,7,17.0,37.7,2020-7
JELENIA GÓRA,2020,8,18.2,103.7,2020-8
JELENIA GÓRA,2020,9,13.2,89.0,2020-9
JELENIA GÓRA,2020,10,9.9,120.2,2020-10
JELENIA GÓRA,2020,11,4.0,21.0,2020-11
JELENIA GÓRA,2020,12,1.8,12.7,2020-12
JELENIA GÓRA,2021,1,-1.1,30.3,2021-1
JELENIA GÓRA,2021,2,-1.0,22.7,2021-2
JELENIA GÓRA,2021,3,2.6,27.1,2021-3
JELENIA GÓRA,2021,4,4.8,42.8,2021-4
JELENIA GÓRA,2021,5,10.5,86.8,2021-5
JELENIA GÓRA,2021,6,18.0,56.3,2021-6
JELENIA GÓRA,2021,7,18.3,169.7,2021-7
JELENIA GÓRA,2021,8,15.6,132.9,2021-8
JELENIA GÓRA,2021,9,14.1,22.8,2021-9
JELENIA GÓRA,2021,10,8.7,33.5,2021-10
JELENIA GÓRA,2021,11,3.8,29.3,2021-11
JELENIA GÓRA,2021,12,0.1,29.0,2021-12
JELENIA GÓRA,2022,1,1.0,26.5,2022-1
JELENIA GÓRA,2022,2,3.4,45.1,2022-2
JELENIA GÓRA,2022,3,2.9,13.0,2022-3
JELENIA GÓRA,2022,4,5.8,34.9,2022-4
JELENIA GÓRA,2022,5,13.3,30.2,2022-5
JELENIA GÓRA,2022,6,17.9,80.5,2022-6
JELENIA GÓRA,2022,7,17.5,58.9,2022-7
JELENIA GÓRA,2022,8,18.3,124.9,2022-8
JELENIA GÓRA,2022,9,11.4,77.7,2022-9
JELENIA GÓRA,2022,10,10.3,11.5,2022-10
JELENIA GÓRA,2022,11,3.0,40.5,2022-11
JELENIA GÓRA,2022,12,0.9,23.5,2022-12
JELENIA GÓRA,2023,1,2.7,34.3,2023-1
JELENIA GÓRA,2023,2,1.1,51.3,2023-2
JELENIA GÓRA,2023,3,4.5,30.0,2023-3
JELENIA GÓRA,2023,4,6.0,60.3,2023-4
JELENIA GÓRA,2023,5,11.6,29.1,2023-5
JELENIA GÓRA,2023,6,16.2,67.7,2023-6
JELENIA GÓRA,2023,7,18.7,62.6,2023-7
JELENIA GÓRA,2023,8,18.0,168.2,2023-8
JELENIA GÓRA,2023,9,15.6,23.4,2023-9
JELENIA GÓRA,2023,10,11.1,58.6,2023-10
JELENIA GÓRA,2023,11,4.5,69.6,2023-11
JELENIA GÓRA,2023,12,1.9,57.8,2023-12
